ID	institucion	acreditacion	carrera	area	subvencionados	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel
17	Universidad de Valparaíso	3 años	Administración de Negocios Internacionales	Administración y Comercio	90,7%	15,7%	 12,9 	82,7%	 De $600 mil a $800 mil 	 $ 2.251.000 
21	Universidad de Los Andes	5 años	Administración de Servicios	Administración y Comercio	3,7%	12,9%	 10,4 	87,5%	 De $800 mil a $1 millón 	 $ 4.002.408 
28	IP Dr. Virginio Gómez G.	4 años	Ingeniería de Ejecución en Administración	Administración y Comercio	97,9%	39,6%	 9,7 	85,5%	 De $400 mil a $600 mil 	 $ 1.234.052 
20	Universidad Arturo Prat	2 años	Ingeniería de Ejecución en Administración de Empresas	Administración y Comercio	98,2%	s/i	 10,2 	91,7%	 De $600 mil a $800 mil 	 $ 2.006.374 
22	Universidad de Los Lagos	3 años	Ingeniería de Ejecución en Administración de Empresas	Administración y Comercio	99,5%	s/i	 18,4 	93,9%	s/i	 $ 1.081.605 
30	IP ESUCOMEX	2 años	Ingeniería de Ejecución en Administración de Empresas	Administración y Comercio	100,0%	70,0%	 9,6 	83,3%	s/i	 $ 895.862 
15	Universidad de Las Américas	3 años	Ingeniería de Ejecución en Administración de Empresas Executive	Administración y Comercio	94,9%	39,1%	 12,0 	85,7%	 De $800 mil a $1 millón 	 $ 1.896.775 
12	Universidad Católica de la Santísima Concepción	En Proceso	Ingeniería de Ejecución en Administración de Empresas mención Finanzas y Comercio Internacional	Administración y Comercio	99,1%	38,7%	 s/i 	86,7%	s/i	 $ 1.099.624 
13	Universidad Central de Chile	4 años	Ingeniería de Ejecución en Administración de Negocios	Administración y Comercio	90,8%	18,6%	 10,4 	84,5%	 De $800 mil a $1 millón 	 $ 2.121.527 
29	IP Duoc UC	7 años	Ingeniería en Administración	Administración y Comercio	92,2%	21,9%	 10,2 	84,1%	 De $600 mil a $800 mil 	 $ 1.712.502 
18	Universidad del Mar	2 años	Ingeniería en Administración de Empresas	Administración y Comercio	93,1%	33,3%	 s/i 	91,7%	s/i	 $ 1.938.309 
19	Universidad Nacional Andrés Bello	5 años	Ingeniería en Administración de Empresas	Administración y Comercio	80,1%	38,2%	 11,6 	81,3%	 De $800 mil a $1 millón 	 $ 2.367.843 
26	IP de Chile	4 años	Ingeniería en Administración de Empresas	Administración y Comercio	100,0%	43,5%	 11,8 	74,5%	 De $600 mil a $800 mil 	 $ 1.050.616 
27	IP Diego Portales	No	Ingeniería en Administración de Empresas	Administración y Comercio	98,4%	66,7%	 10,1 	76,4%	 De $400 mil a $600 mil 	 $ 664.727 
34	IP Latinoamericano de Comercio Exterior	No	Ingeniería en Administración de Empresas	Administración y Comercio	94,4%	50,0%	 9,9 	95,0%	s/i	 $ 854.789 
35	IP Los Lagos	No	Ingeniería en Administración de Empresas	Administración y Comercio	98,5%	49,2%	 s/i 	95,1%	s/i	 $ 913.170 
36	IP Los Leones	4 años	Ingeniería en Administración de Negocios y Ventas	Administración y Comercio	98,4%	63,6%	 10,7 	87,5%	s/i	 $ 953.451 
16	Universidad de Santiago de Chile	6 años	Ingeniería en Agronegocios	Administración y Comercio	91,7%	21,7%	 15,7 	77,6%	s/i	 $ 2.928.580 
33	IP La Araucana	4 años	Ingeniería en Gestión de Empresas	Administración y Comercio	99,6%	41,7%	 9,7 	89,1%	 De $600 mil a $800 mil 	 $ 1.108.505 
14	Universidad de Antofagasta	4 años	Administración de Empresas mención RR.HH.	Administración y Comercio	95,5%	28,6%	 14,0 	93,0%	s/i	 $ 2.335.000 
25	Universidad Tecnológica de Chile INACAP	3 años	Ingeniería en Administración de Empresas Mención	Administración y Comercio	92,3%	34,0%	 9,6 	82,0%	 De $600 mil a $800 mil 	 $ 1.368.579 
38	IP INACAP	6 años	Administración Gastronómica Internacional	Administración y Comercio	79,7%	28,2%	 10,7 	63,6%	 De $400 mil a $600 mil 	 $ 1.869.612 
37	IP Duoc UC	7 años	Gastronomía Internacional	Administración y Comercio	90,9%	28,3%	 10,3 	54,8%	s/i	 $ 2.165.518 
46	Universidad Austral de Chile	6 años	Administración de Empresas de Turismo	Administración y Comercio	95,1%	42,5%	 14,2 	65,8%	 De $400 mil a $600 mil 	 $ 1.903.000 
47	Universidad de Valparaíso	3 años	Administración Hotelera y Gastronómica	Administración y Comercio	89,7%	26,7%	 12,8 	62,2%	s/i	 $ 2.242.301 
49	Universidad de La Serena	4 años	Administración Turística	Administración y Comercio	96,4%	18,2%	 s/i 	66,7%	 De $400 mil a $600 mil 	 $ 1.549.000 
53	IP Duoc UC	7 años	Ecoturismo	Administración y Comercio	80,7%	19,2%	 10,0 	62,2%	 De $400 mil a $600 mil 	 $ 1.994.152 
48	Universidad Tecnológica Metropolitana	2 años	Ingeniería en Gestión Turística	Administración y Comercio	94,3%	29,2%	 14,4 	71,8%	 De $400 mil a $600 mil 	 $ 2.172.373 
51	IP de Chile	4 años	Ingeniería en Gestión Turística	Administración y Comercio	99,2%	55,3%	 11,2 	62,0%	s/i	 $ 1.150.768 
54	IP INACAP	6 años	Administración de Empresas Turísticas y Administración Hoteles y Restaurantes	Administración y Comercio	76,7%	38,7%	 10,8 	56,5%	 De $400 mil a $600 mil 	 $ 1.695.108 
50	Universidad Nacional Andrés Bello	5 años	Ecoturismo e Ingeniería en Turismo y Hoteleria	Administración y Comercio	49,4%	23,6%	 11,4 	42,9%	s/i	 $ 2.716.189 
151	Universidad Austral de Chile	6 años	Auditoría	Administración y Comercio	98,0%	7,1%	 12,5 	92,6%	 De $800 mil a $1 millón 	 $ 2.279.614 
154	Universidad Católica del Maule	5 años	Auditoría	Administración y Comercio	99,1%	20,7%	 14,8 	88,0%	 De $800 mil a $1 millón 	 $ 1.600.000 
157	Universidad de Concepción	6 años	Auditoría	Administración y Comercio	98,5%	21,2%	 12,1 	87,6%	 De $600 mil a $800 mil 	 $ 1.748.000 
163	Universidad de Valparaíso	3 años	Auditoría	Administración y Comercio	96,2%	21,6%	 15,9 	93,6%	 De $800 mil a $1 millón 	 $ 1.902.636 
176	IP AIEP	4 años	Auditoría	Administración y Comercio	99,8%	26,7%	 10,1 	92,3%	s/i	 $ 1.072.032 
178	IP de Chile	4 años	Auditoría	Administración y Comercio	99,7%	44,1%	 10,9 	93,3%	 De $600 mil a $800 mil 	 $ 1.058.493 
180	IP Dr. Virginio Gómez G.	4 años	Auditoría	Administración y Comercio	98,8%	17,0%	 9,1 	91,9%	 De $600 mil a $800 mil 	 $ 1.254.366 
181	IP Duoc UC	7 años	Auditoría	Administración y Comercio	98,4%	19,6%	 11,0 	92,5%	 De $600 mil a $800 mil 	 $ 1.557.020 
188	IP Latinoamericano de Comercio Exterior	No	Auditoría	Administración y Comercio	100,0%	30,8%	 10,7 	96,3%	s/i	 $ 801.278 
149	Pontificia Universidad Católica de Valparaíso	6 años	Contador Auditor	Administración y Comercio	92,9%	19,7%	 17,5 	93,3%	 De $800 mil a $1 millón 	 $ 2.432.000 
153	Universidad Católica de la Santísima Concepción	En Proceso	Contador Auditor	Administración y Comercio	98,6%	10,3%	 13,2 	85,9%	 De $600 mil a $800 mil 	 $ 1.897.320 
164	Universidad del Mar	2 años	Contador Auditor	Administración y Comercio	100,0%	50,0%	 11,5 	96,4%	 De $600 mil a $800 mil 	 $ 2.065.500 
168	Universidad Nacional Andrés Bello	5 años	Contador Auditor	Administración y Comercio	95,2%	25,8%	 12,1 	94,2%	 De $800 mil a $1 millón 	 $ 2.256.646 
169	Universidad Santo Tomás	3 años	Contador Auditor	Administración y Comercio	99,7%	23,1%	 11,7 	83,7%	 De $800 mil a $1 millón 	 $ 1.630.262 
179	IP Diego Portales	No	Contador Auditor	Administración y Comercio	100,0%	57,7%	 10,5 	74,6%	 De $400 mil a $600 mil 	 $ 665.637 
182	IP Escuela de Contadores Auditores de Santiago	4 años	Contador Auditor	Administración y Comercio	99,1%	45,6%	 14,8 	98,1%	 De $800 mil a $1 millón 	 $ 1.395.747 
183	IP ESUCOMEX	2 años	Contador Auditor	Administración y Comercio	100,0%	56,5%	 11,0 	97,6%	 De $600 mil a $800 mil 	 $ 923.063 
184	IP INACAP	6 años	Contador Auditor	Administración y Comercio	99,0%	s/i	 10,9 	86,4%	 De $600 mil a $800 mil 	 $ 1.338.268 
187	IP La Araucana	4 años	Contador Auditor	Administración y Comercio	100,0%	28,4%	 11,1 	95,4%	 De $600 mil a $800 mil 	 $ 1.171.307 
189	IP Los Leones	4 años	Contador Auditor	Administración y Comercio	99,4%	57,2%	 10,4 	86,2%	s/i	 $ 989.217 
185	IP Instituto de Estudios Bancarios Guillermo Subercaseaux	4 años	Contador Auditor con mención Banca e Instituciones Financieras	Administración y Comercio	98,7%	s/i	 9,3 	95,2%	s/i	 $ 1.350.000 
159	Universidad de Las Américas	3 años	Contador Auditor Executive	Administración y Comercio	98,0%	35,9%	 11,5 	93,1%	 De $800 mil a $1 millón 	 $ 1.640.918 
155	Universidad Católica del Norte	6 años	Contador Auditor/Contador Público	Administración y Comercio	93,7%	31,4%	 14,2 	91,5%	 De $1 millón a $1 millón 200 mil 	 $ 2.532.290 
166	Universidad Diego Portales	5 años	Contador Auditor-Contador Público	Administración y Comercio	83,1%	11,8%	 11,5 	97,6%	 De $1 millón a $1 millón 200 mil 	 $ 2.764.125 
175	Universidad de Tarapacá	5 años	Contador Auditor-Contador Público	Administración y Comercio	99,4%	22,2%	 15,6 	75,0%	 De $600 mil a $800 mil 	 $ 2.200.522 
152	Universidad Autónoma de Chile	5 años	Contador Público Auditor	Administración y Comercio	99,2%	25,0%	 11,2 	93,4%	s/i	 $ 1.676.433 
160	Universidad de Los Lagos	3 años	Contador Público Auditor	Administración y Comercio	100,0%	6,3%	 16,7 	91,8%	 De $600 mil a $800 mil 	 $ 1.387.035 
170	Universidad Tecnológica Metropolitana	2 años	Contador Público Auditor	Administración y Comercio	98,5%	23,9%	 15,1 	98,0%	 De $1 millón a $1 millón 200 mil 	 $ 2.172.373 
150	Universidad Arturo Prat	2 años	Contador Público y Auditor	Administración y Comercio	99,7%	49,7%	 12,9 	92,5%	 De $600 mil a $800 mil 	 $ 1.434.025 
161	Universidad de Santiago de Chile	6 años	Contador Público y Auditor	Administración y Comercio	96,2%	13,3%	 13,0 	98,9%	 De $1 millón a $1 millón 200 mil 	 $ 2.509.790 
162	Universidad de Talca	5 años	Contador Público y Auditor	Administración y Comercio	98,4%	10,8%	 12,4 	96,8%	 De $800 mil a $1 millón 	 $ 2.351.295 
165	Universidad del Pacífico	3 años	Contador Público y Auditor	Administración y Comercio	98,3%	33,3%	 10,1 	94,6%	s/i	 $ 1.751.576 
171	Universidad Católica Silva Henríquez	4 años	Contador Público y Auditor	Administración y Comercio	100,0%	21,1%	 s/i 	98,5%	s/i	 $ 1.912.200 
174	Universidad del Bío-Bío	5 años	Contador Público y Auditor	Administración y Comercio	99,4%	16,2%	 14,1 	90,6%	 De $600 mil a $800 mil 	 $ 1.838.000 
158	Universidad de La Frontera	5 años	Contador Público y Contador Auditor	Administración y Comercio	98,3%	20,4%	 12,9 	95,2%	 De $600 mil a $800 mil 	 $ 1.832.000 
156	Universidad de Chile	7 años	Ingeniería en Información y Control de Gestión y/o Contador Auditor	Administración y Comercio	70,2%	23,1%	 14,3 	98,6%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.476.500 
173	Universidad de La Serena	4 años	Aditoría	Administración y Comercio	99,6%	6,5%	 s/i 	88,6%	 De $800 mil a $1 millón 	 $ 1.649.000 
494	IP ESUCOMEX	2 años	Ingeniería de Ejecución en Comercio Internacional	Administración y Comercio	92,0%	71,4%	 10,6 	91,2%	 De $600 mil a $800 mil 	 $ 960.000 
493	IP Duoc UC	7 años	Ingeniería en Comercio Exterior	Administración y Comercio	90,6%	23,5%	 11,1 	82,4%	 De $600 mil a $800 mil 	 $ 1.740.983 
488	Universidad Tecnológica Metropolitana	2 años	Ingeniería en Comercio Internacional	Administración y Comercio	97,6%	25,0%	 18,8 	90,7%	 De $800 mil a $1 millón 	 $ 2.166.931 
495	IP INACAP	6 años	Ingeniería en Negocios Internacionales	Administración y Comercio	90,6%	26,7%	 s/i 	85,9%	 De $600 mil a $800 mil 	 $ 1.515.967 
567	Universidad Diego Portales	5 años	Ingeniería en Finanzas	Administración y Comercio	98,0%	s/i	 11,1 	94,7%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.616.000 
569	IP La Araucana	4 años	Ingeniería en Gestión Financiera	Administración y Comercio	100,0%	42,9%	 10,6 	94,3%	s/i	 $ 1.241.193 
