institucion	carrera	area	acreditacion_institucion	tipo_institucion	tipo_institucion_nivel_0	tipo_institucion_nivel_1	tipo_institucion_nivel_2	porcentaje_subvencionados	desercion_agno1	duracion_real	empleabilidad_agno1	ingreso_agno4	arancel
CFT Andrés Bello	Administración de Empresas	Administración y Comercio	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	0.992	0.317	6.1	0.617	Menor a $400 mil	660000
CFT Andrés Bello	Asistente Jurídico	Derecho	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.5	6.5	0.445	s/i	660000
CFT Andrés Bello	Computación e Informática	Tecnología	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.431	6.8	0.645	Menor a $400 mil	700000
CFT Andrés Bello	Contabilidad General	Administración y Comercio	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	s/i	6.4	0.704	s/i	660000
CFT Andrés Bello	Electrónica Industrial	Tecnología	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.345	7.3	0.677	Menor a $400 mil	700000
CFT Andrés Bello	Prevención de Riesgos	Tecnología	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.372	6.4	0.683	De $400 mil a $600 mil	700000
CFT Andrés Bello	Técnico en Construcción Civil	Tecnología	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.325	7.6	0.731	s/i	700000
CFT Andrés Bello	Técnico en Trabajo Social	Ciencias Sociales	3 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.333	6.1	0.308	s/i	660000
CFT Barros Arana	Técnico en Enfermería	Salud	No	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.385	6.8	0.596	Menor a $400 mil	1000000
CFT CEDUC - UCN	Electricidad y Electrónica Industrial	Tecnología	5 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	0.994	0.416	6.7	0.839	s/i	1104240
CFT CEDUC - UCN	Enfermería y Telemedicina	Salud	5 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.253	6.5	0.581	s/i	1105296
CFT CEDUC - UCN	Maquinaria Pesada	Tecnología	5 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	0.987	0.34	7.5	0.914	s/i	1114801
CFT CEDUC - UCN	Prevención de Riesgos	Tecnología	5 años	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	0.964	0.51	7.0	0.738	s/i	1108537
CFT Ceitec	Prevención de Riesgos	Tecnología	No	CENTRO DE FORMACIÓN TÉCNICA	Centros de Formación Técnica	Centros de Formación Técnica	Centros de Formación Técnica	1.0	0.316	6.0	0.941	s/i	720000
