value	source	target
21035	2009-M	2010-M
25	2009-M	2010-PP
1095	2009-M	2010-PS
23	2009-PP	2010-M
4314	2009-PP	2010-PP
167	2009-PP	2010-PS
909	2009-PS	2010-M
140	2009-PS	2010-PP
46082	2009-PS	2010-PS
20946	2010-M	2011-M
26	2010-M	2011-PP
995	2010-M	2011-PS
24	2010-PP	2011-M
4362	2010-PP	2011-PP
93	2010-PP	2011-PS
800	2010-PS	2011-M
109	2010-PS	2011-PP
46435	2010-PS	2011-PS
21577	2011-M	2012-M
11	2011-M	2012-PP
182	2011-M	2012-PS
21	2011-PP	2012-M
4426	2011-PP	2012-PP
51	2011-PP	2012-PS
495	2011-PS	2012-M
30	2011-PS	2012-PP
46998	2011-PS	2012-PS
4316	2012-M	2013-CFT
6642	2012-M	2013-IP
11125	2012-M	2013-UNIV
23	2012-PP	2013-CFT
110	2012-PP	2013-IP
4329	2012-PP	2013-UNIV
5513	2012-PS	2013-CFT
11380	2012-PS	2013-IP
30302	2012-PS	2013-UNIV
