ID	tipo	nombre	acreditacion	agnosacreditacion	Patrimonio	resultado	pregrado2007	pregrado2008	pregrado2009	pregrado2010	pregrado2011	pregrado2012	Municipal	Subvencionado	Particularpagado	retencionagno1	nemMatriculados	titulados2007	titulados2008	titulados2009	titulados2010	titulados2011																																																																																																																																																																				
421	Centro de Formación Técnica	CFT Alexander von Humboldt	No acreditada		$ 137.486	$ 6.872	260	87	325	309	285	914	60,4%	38,7%	1,0%	80,2%	 5,4 	61	62	42	31	104																																																																																																																																																																				
437	Centro de Formación Técnica	CFT Alpes	No acreditada		$ 183.785	$ 6.614	270	190	246	297	252	392	36,2%	57,1%	6,7%	48,2%	 5,3 	24	23	28	24	23																																																																																																																																																																				
417	Centro de Formación Técnica	CFT Andrés Bello	Acreditada	3	$ 431.880	$ 98.095	1423	1285	1544	1487	1514	1669	59,6%	40,2%	0,2%	50,4%	 5,4 	191	207	293	292	347																																																																																																																																																																				
379	Centro de Formación Técnica	CFT Austral	No acreditada		-$ 527.295	-$ 33.946	621	383	275	180	100	32	53,8%	46,2%	0,0%	70,1%	 5,3 	44	39	60	124	49																																																																																																																																																																				
511	Centro de Formación Técnica	CFT Barros Arana	No acreditada		$ 172.094	$ 7.064	350	311	317	226	187	100	70,4%	29,6%	0,0%	62,3%	 5,5 	82	56	124	88	79																																																																																																																																																																				
444	Centro de Formación Técnica	CFT Cámara de Comercio de Santiago	Acreditada	2	$ 458.114	$ 280.717	488	753	985	1203	1695	1959	26,7%	71,8%	1,6%	54,8%	 5,4 	97	147	73	181	315																																																																																																																																																																				
487	Centro de Formación Técnica	CFT CEDUC - UCN	Acreditada	5	$ 2.466.722	$ 311.253	768	1102	1517	1803	1906	1901	58,5%	39,8%	1,7%	65,2%	 5,5 	94	90	155	195	334																																																																																																																																																																				
516	Centro de Formación Técnica	CFT Ceitec	No acreditada		$ 72.276	$ 9.877	143	186	178	311	377	429	39,8%	59,7%	0,5%	51,3%	 5,3 	25	34	41	29	48																																																																																																																																																																				
407	Centro de Formación Técnica	CFT Cenco	No acreditada		$ 132.565	-$ 181.881	115	28	104	223	264	1186	53,1%	45,6%	1,3%	39,9%	 5,4 	23	18	33	36	6																																																																																																																																																																				
484	Centro de Formación Técnica	CFT Centro Tecnológico Superior INFOMED	No acreditada		-$ 23.972	$ 22.653	31	47	57	58	86	69	s/i	 s/i 	 s/i 	s/i	s/i	11	14	18	5	14																																																																																																																																																																				
