institucion	carrera	area	tipo_institucion_nivel_1	duracion_real	ingreso_agno4	arancel
CFT Andrés Bello	Administración de Empresas	Administración y Comercio	Centros de Formación Técnica	6.1	Menor a $400 mil	660000
CFT Andrés Bello	Asistente Jurídico	Derecho	Centros de Formación Técnica	6.5	s/i	660000
CFT Andrés Bello	Computación e Informática	Tecnología	Centros de Formación Técnica	6.8	Menor a $400 mil	700000
CFT Andrés Bello	Contabilidad General	Administración y Comercio	Centros de Formación Técnica	6.4	s/i	660000
CFT Andrés Bello	Electrónica Industrial	Tecnología	Centros de Formación Técnica	7.3	Menor a $400 mil	700000
CFT Andrés Bello	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	6.4	De $400 mil a $600 mil	700000
CFT Andrés Bello	Técnico en Construcción Civil	Tecnología	Centros de Formación Técnica	7.6	s/i	700000
CFT Andrés Bello	Técnico en Trabajo Social	Ciencias Sociales	Centros de Formación Técnica	6.1	s/i	660000
CFT Barros Arana	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.8	Menor a $400 mil	1000000
CFT CEDUC - UCN	Electricidad y Electrónica Industrial	Tecnología	Centros de Formación Técnica	6.7	s/i	1104240
CFT CEDUC - UCN	Enfermería y Telemedicina	Salud	Centros de Formación Técnica	6.5	s/i	1105296
CFT CEDUC - UCN	Maquinaria Pesada	Tecnología	Centros de Formación Técnica	7.5	s/i	1114801
CFT CEDUC - UCN	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	7.0	s/i	1108537
CFT Ceitec	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	6.0	s/i	720000
CFT Ceponal	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.1	s/i	1100000
CFT Crecic	Administración de Empresas (Modulos)	Administración y Comercio	Centros de Formación Técnica	6.8	s/i	728219
CFT Crecic	Secretariado	Administración y Comercio	Centros de Formación Técnica	6.7	s/i	780000
CFT Cámara de Comercio de Santiago	Administración Comercial	Administración y Comercio	Centros de Formación Técnica	6.6	s/i	1080292
CFT Cámara de Comercio de Santiago	Administración en Comercio Exterior	Administración y Comercio	Centros de Formación Técnica	6.9	De $400 mil a $600 mil	1071471
CFT Cámara de Comercio de Santiago	Logística Operativa	Administración y Comercio	Centros de Formación Técnica	6.4	s/i	1132946
CFT DUOC UC	Administración Financiera	Administración y Comercio	Centros de Formación Técnica	6.3	De $600 mil a $800 mil	1200000
CFT DUOC UC	Administración Hotelera, Turismo de Aventura, Turismo Técnico mención en Empresas Turísticas	Administración y Comercio	Centros de Formación Técnica	7.4	De $400 mil a $600 mil	1350682
CFT DUOC UC	Administración de Empresas mención Marketing	Administración y Comercio	Centros de Formación Técnica	6.5	De $400 mil a $600 mil	1187576
CFT DUOC UC	Administración de Recursos Humanos	Administración y Comercio	Centros de Formación Técnica	6.2	De $400 mil a $600 mil	1191002
CFT DUOC UC	Administración de Redes Computacionales	Tecnología	Centros de Formación Técnica	6.7	s/i	1320000
CFT DUOC UC	Asistente Ejecutivo	Administración y Comercio	Centros de Formación Técnica	6.5	s/i	1080000
CFT DUOC UC	Comercio Exterior	Administración y Comercio	Centros de Formación Técnica	6.3	De $400 mil a $600 mil	1200000
CFT DUOC UC	Contabilidad General mención Legislación Tributaria	Administración y Comercio	Centros de Formación Técnica	6.6	De $600 mil a $800 mil	1150000
CFT DUOC UC	Gastronomía	Administración y Comercio	Centros de Formación Técnica	7.7	Menor a $400 mil	1630000
CFT DUOC UC	Técnico Jurídico	Derecho	Centros de Formación Técnica	6.6	s/i	1121535
CFT DUOC UC	Técnico en Gestión Logística	Administración y Comercio	Centros de Formación Técnica	s/i	s/i	1200000
CFT Diego Portales	Asistente Técnico del Educador de Párvulos	Educación	Centros de Formación Técnica	6.7	Menor a $400 mil	717431
CFT Diego Portales	Asistente del Educador Diferencial	Educación	Centros de Formación Técnica	6.0	Menor a $400 mil	600000
CFT Diego Portales	Gastronomía y Cocina Internacional	Administración y Comercio	Centros de Formación Técnica	8.7	Menor a $400 mil	1123755
CFT Diego Portales	Secreatariado Ejecutivo Computacional	Administración y Comercio	Centros de Formación Técnica	6.4	Menor a $400 mil	668000
CFT Diego Portales	Técnico en Construcción	Tecnología	Centros de Formación Técnica	6.0	Menor a $400 mil	680855
CFT EDUCAP	Gestión Contable y Tributaria	Administración y Comercio	Centros de Formación Técnica	6.1	s/i	627000
CFT EDUCAP	Técnico en Educación Parvularia	Educación	Centros de Formación Técnica	6.2	Menor a $400 mil	627000
CFT Escuela Superior de Administración de Negocios del Norte ESANE	Prevención de Riesgos Modular	Tecnología	Centros de Formación Técnica	7.4	De $800 mil a $1 millón	s/i
CFT Escuela de Intérpretes INCENI	Intérprete Inglés-Castellano	Humanidades	Centros de Formación Técnica	s/i	De $400 mil a $600 mil	1090000
CFT Fontanar	Servicios Gastronómicos Hoteleros y de Restaurante	Administración y Comercio	Centros de Formación Técnica	7.5	s/i	1091748
CFT Fontanar	Técnico en Enfermería	Salud	Centros de Formación Técnica	5.7	s/i	920796
CFT ICEL	Cocina Nacional e Internacional	Administración y Comercio	Centros de Formación Técnica	6.4	s/i	859000
CFT ICEL	Mecánica Automotriz	Tecnología	Centros de Formación Técnica	7.1	De $400 mil a $600 mil	779000
CFT ICEL	Técnico Jurídico	Derecho	Centros de Formación Técnica	6.8	s/i	565890
CFT ICEL	Técnico en Educación Parvularia	Educación	Centros de Formación Técnica	6.4	Menor a $400 mil	579000
CFT ICEL	Técnico en Odontología	Salud	Centros de Formación Técnica	6.0	s/i	739000
CFT INACAP	Administración de Empresas mención Finanzas	Administración y Comercio	Centros de Formación Técnica	6.8	De $400 mil a $600 mil	1360797
CFT INACAP	Analista Programador	Tecnología	Centros de Formación Técnica	8.4	De $600 mil a $800 mil	1392110
CFT INACAP	Asistente Jurídico	Derecho	Centros de Formación Técnica	7.2	De $400 mil a $600 mil	1038250
CFT INACAP	Asistente en Educación de Párvulos	Educación	Centros de Formación Técnica	5.8	s/i	1185534
CFT INACAP	Automatización y Control Industrial	Tecnología	Centros de Formación Técnica	7.3	De $600 mil a $800 mil	1360324
CFT INACAP	Biotecnología Industrial	Tecnología	Centros de Formación Técnica	7.0	s/i	1220091
CFT INACAP	Comercio Exterior	Administración y Comercio	Centros de Formación Técnica	7.0	De $400 mil a $600 mil	1235663
CFT INACAP	Contabilidad General	Administración y Comercio	Centros de Formación Técnica	6.8	De $400 mil a $600 mil	1355371
CFT INACAP	Dibujo Técnico Industrial	Tecnología	Centros de Formación Técnica	6.5	De $600 mil a $800 mil	1158000
CFT INACAP	Dibujo de Proyectos de Arquitectura e Ingeniería	Arte y Arquitectura	Centros de Formación Técnica	7.0	De $400 mil a $600 mil	1076667
CFT INACAP	Diseño y Programación Multimedia	Tecnología	Centros de Formación Técnica	6.6	s/i	1234123
CFT INACAP	Electricidad Industrial mención Electromecánica	Tecnología	Centros de Formación Técnica	7.6	De $600 mil a $800 mil	1343019
CFT INACAP	Electrónica Industrial	Tecnología	Centros de Formación Técnica	7.6	De $600 mil a $800 mil	1336243
CFT INACAP	Gastronomía Internacional	Administración y Comercio	Centros de Formación Técnica	7.6	Menor a $400 mil	1634850
CFT INACAP	Gestión y Control de Calidad	Administración y Comercio	Centros de Formación Técnica	6.2	De $400 mil a $600 mil	1121583
CFT INACAP	Laboratorista Clínico, Banco de Sangre e Imagenología	Salud	Centros de Formación Técnica	6.1	s/i	1243970
CFT INACAP	Laboratorista Químico Minero	Tecnología	Centros de Formación Técnica	8.0	De $400 mil a $600 mil	1254052
CFT INACAP	Logística	Administración y Comercio	Centros de Formación Técnica	6.5	s/i	1302028
CFT INACAP	Mantenimiento Industrial	Tecnología	Centros de Formación Técnica	6.8	De $600 mil a $800 mil	1391438
CFT INACAP	Mecánica Automotriz	Tecnología	Centros de Formación Técnica	7.2	De $400 mil a $600 mil	1414795
CFT INACAP	Mecánica en Producción Industrial	Tecnología	Centros de Formación Técnica	6.7	s/i	1436735
CFT INACAP	Paisajismo	Arte y Arquitectura	Centros de Formación Técnica	6.1	s/i	1988000
CFT INACAP	Preparador Físico	Educación	Centros de Formación Técnica	6.9	s/i	1179717
CFT INACAP	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	7.1	De $600 mil a $800 mil	1366217
CFT INACAP	Programador de Aplicaciones Computacionales	Tecnología	Centros de Formación Técnica	s/i	s/i	1374281
CFT INACAP	Refrigeración y Climatización	Tecnología	Centros de Formación Técnica	6.4	De $400 mil a $600 mil	1498305
CFT INACAP	Soporte Computacional	Tecnología	Centros de Formación Técnica	7.5	De $400 mil a $600 mil	1150159
CFT INACAP	Tecnología Agrícola	Agropecuaria	Centros de Formación Técnica	6.4	De $400 mil a $600 mil	1431290
CFT INACAP	Tecnología Industrial de los Alimentos	Tecnología	Centros de Formación Técnica	7.1	De $400 mil a $600 mil	1282821
CFT INACAP	Tecnología en Operaciones Mineras y Metalurgia	Tecnología	Centros de Formación Técnica	7.9	s/i	1337695
CFT INACAP	Tecnología en Vitivinicultura	Agropecuaria	Centros de Formación Técnica	6.7	s/i	1219267
CFT INACAP	Telecomunicaciones, Conectividad y Redes	Tecnología	Centros de Formación Técnica	6.6	De $400 mil a $600 mil	1463035
CFT INACAP	Topografía	Tecnología	Centros de Formación Técnica	6.7	s/i	1213327
CFT INACAP	Técnico en Construcción y Edificación	Tecnología	Centros de Formación Técnica	6.3	De $400 mil a $600 mil	1355120
CFT INACAP	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.5	Menor a $400 mil	1318487
CFT INACAP	Técnico en Farmacia	Salud	Centros de Formación Técnica	6.2	s/i	1180742
CFT INACAP	Técnico en Hoteles y Restaurantes, y Turismo con menciones	Administración y Comercio	Centros de Formación Técnica	6.9	Menor a $400 mil	1419299
CFT INACAP	Técnico en Odontología	Salud	Centros de Formación Técnica	5.7	Menor a $400 mil	1290858
CFT Instituto Central de Capacitación Educacional ICCE	Administración de Empresas	Administración y Comercio	Centros de Formación Técnica	9.0	s/i	906308
CFT Instituto Superior de Estudios Jurídicos CANON	Técnico Jurídico	Derecho	Centros de Formación Técnica	7.5	De $400 mil a $600 mil	743725
CFT Instituto Tecnológico de Chile I.T.C.	Análisis de Sistemas	Tecnología	Centros de Formación Técnica	9.5	De $600 mil a $800 mil	888874
CFT Instituto Tecnológico de Chile I.T.C.	Gestión de Soporte y Redes	Tecnología	Centros de Formación Técnica	s/i	s/i	800128
CFT Instituto de Secretariado INSEC	Secretariado Ejecutivo Bilingüe	Administración y Comercio	Centros de Formación Técnica	7.1	Menor a $400 mil	616800
CFT Instituto de Secretariado INSEC	Secretariado Ejecutivo Gerencial	Administración y Comercio	Centros de Formación Técnica	6.3	Menor a $400 mil	666011
CFT Iprosec	Técnico de Nivel Superior en Administración de Empresas	Administración y Comercio	Centros de Formación Técnica	5.8	s/i	662400
CFT Iprosec	Técnico de Nivel Superior en Asistente de Párvulos	Educación	Centros de Formación Técnica	5.9	s/i	688900
CFT Iprosec	Técnico de Nivel Superior en Electricidad	Tecnología	Centros de Formación Técnica	5.8	s/i	902300
CFT Juan Bohon	Asistente de Educador de Párvulos	Educación	Centros de Formación Técnica	6.8	s/i	649000
CFT Juan Bohon	Gastronomía y Cocina Internacional	Administración y Comercio	Centros de Formación Técnica	6.2	s/i	979000
CFT Juan Bohon	Topografía	Tecnología	Centros de Formación Técnica	6.2	s/i	759000
CFT La Araucana	Administración de Empresas	Administración y Comercio	Centros de Formación Técnica	6.6	De $400 mil a $600 mil	859536
CFT La Araucana	Administración de Sistemas Logísticos	Administración y Comercio	Centros de Formación Técnica	7.0	s/i	866878
CFT La Araucana	Administración y Soporte de Redes	Tecnología	Centros de Formación Técnica	9.3	s/i	939899
CFT La Araucana	Asistente de Educación Parvularia y Básica	Educación	Centros de Formación Técnica	6.5	s/i	708457
CFT La Araucana	Contabilidad General	Administración y Comercio	Centros de Formación Técnica	6.8	s/i	879058
CFT La Araucana	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	6.7	s/i	887631
CFT La Araucana	Producción y Gestión de Eventos	Administración y Comercio	Centros de Formación Técnica	7.3	s/i	775018
CFT La Araucana	Técnico Jurídico	Derecho	Centros de Formación Técnica	6.7	s/i	697239
CFT Laplace	Administración de Empresas mención Gestión de Marketing, Personal o Finanzas	Administración y Comercio	Centros de Formación Técnica	s/i	De $400 mil a $600 mil	620000
CFT Los Leones	Laboratorista Dental	Salud	Centros de Formación Técnica	6.4	Menor a $400 mil	888548
CFT Los Leones	Secretariado Ejecutivo Computacional	Administración y Comercio	Centros de Formación Técnica	6.7	Menor a $400 mil	491767
CFT Los Leones	Turismo	Administración y Comercio	Centros de Formación Técnica	7.8	De $400 mil a $600 mil	562767
CFT Lota-Arauco	Administración Pública	Ciencias Sociales	Centros de Formación Técnica	6.0	Menor a $400 mil	1037841
CFT Lota-Arauco	Administración de Redes y Soporte Computacional	Tecnología	Centros de Formación Técnica	6.7	Menor a $400 mil	1037841
CFT Lota-Arauco	Mecánica Industrial	Tecnología	Centros de Formación Técnica	7.5	De $400 mil a $600 mil	1037841
CFT Lota-Arauco	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	7.2	De $400 mil a $600 mil	1037841
CFT Lota-Arauco	Técnico de Nivel Superior en Industrias de la Madera	Tecnología	Centros de Formación Técnica	8.5	s/i	1037841
CFT Luis Alberto Vera	Asistente de Educación Parvularia	Educación	Centros de Formación Técnica	s/i	s/i	800000
CFT Magnos	Administración de Empresas mención Marketing y Ventas	Administración y Comercio	Centros de Formación Técnica	6.3	s/i	888000
CFT Magnos	Asistente de Odontología	Salud	Centros de Formación Técnica	6.3	s/i	988000
CFT Magnos	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.2	s/i	988000
CFT Manpower	Administración de Empresas mención Marketing y Ventas o Comercio Exterior o Gestión de Capital Humano	Administración y Comercio	Centros de Formación Técnica	7.3	s/i	1085000
CFT Manpower	Asistente Ejecutivo Bilingüe	Administración y Comercio	Centros de Formación Técnica	6.4	s/i	1438679
CFT Massachusetts	Secretariado Ejecutivo Computacional mención Jurídica o Relaciones Públicas	Administración y Comercio	Centros de Formación Técnica	s/i	s/i	599500
CFT Massachusetts	Técnico Jurídico	Derecho	Centros de Formación Técnica	7.5	Menor a $400 mil	599500
CFT Massachusetts	Técnico en Construcción	Tecnología	Centros de Formación Técnica	7.0	s/i	599500
CFT Massachusetts	Técnico en Enfermería	Salud	Centros de Formación Técnica	7.1	Menor a $400 mil	894631
CFT Profasoc	Técnico de Nivel Superior en Enfermería	Salud	Centros de Formación Técnica	7.8	s/i	1000000
CFT Salesianos Don Bosco	Electrónica Industrial	Tecnología	Centros de Formación Técnica	8.1	De $400 mil a $600 mil	1086750
CFT Salesianos Don Bosco	Técnico en Mecánica Automotriz	Tecnología	Centros de Formación Técnica	8.7	De $400 mil a $600 mil	1086750
CFT Salesianos Don Bosco	Técnico en Mecánica Industrial	Tecnología	Centros de Formación Técnica	7.4	s/i	1086750
CFT San Agustín de Talca	Técnico Social con Mención	Ciencias Sociales	Centros de Formación Técnica	s/i	s/i	955000
CFT San Agustín de Talca	Técnico en Obras Civiles	Tecnología	Centros de Formación Técnica	8.0	De $400 mil a $600 mil	1156000
CFT Santo Tomás	Agente de Ventas mención Visitador Médico	Salud	Centros de Formación Técnica	7.6	De $400 mil a $600 mil	1076013
CFT Santo Tomás	Cocina Internacional y Tradicional Chilena	Administración y Comercio	Centros de Formación Técnica	7.2	Menor a $400 mil	1260771
CFT Santo Tomás	Contabilidad General	Administración y Comercio	Centros de Formación Técnica	7.1	s/i	909427
CFT Santo Tomás	Higienista Dental	Salud	Centros de Formación Técnica	6.5	Menor a $400 mil	1099701
CFT Santo Tomás	Laboratorista Dental	Salud	Centros de Formación Técnica	7.5	Menor a $400 mil	1174811
CFT Santo Tomás	Preparador Físico	Educación	Centros de Formación Técnica	7.2	s/i	1089125
CFT Santo Tomás	Prevención de Riesgos	Tecnología	Centros de Formación Técnica	6.7	De $400 mil a $600 mil	1046455
CFT Santo Tomás	Topografía	Tecnología	Centros de Formación Técnica	6.2	s/i	921599
CFT Santo Tomás	Técnico Agrícola	Agropecuaria	Centros de Formación Técnica	7.3	De $400 mil a $600 mil	1028389
CFT Santo Tomás	Técnico Jurídico	Derecho	Centros de Formación Técnica	7.2	De $400 mil a $600 mil	925598
CFT Santo Tomás	Técnico en Administración	Administración y Comercio	Centros de Formación Técnica	5.6	s/i	957839
CFT Santo Tomás	Técnico en Análisis Químico	Tecnología	Centros de Formación Técnica	s/i	De $400 mil a $600 mil	1120065
CFT Santo Tomás	Técnico en Construcciones Civiles	Tecnología	Centros de Formación Técnica	7.4	s/i	985941
CFT Santo Tomás	Técnico en Educación Especial	Educación	Centros de Formación Técnica	6.5	Menor a $400 mil	951978
CFT Santo Tomás	Técnico en Educación Parvularia	Educación	Centros de Formación Técnica	6.0	Menor a $400 mil	882286
CFT Santo Tomás	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.7	Menor a $400 mil	1252721
CFT Santo Tomás	Técnico en Laboratorio Clínico Banco de Sangre e Imagenología	Salud	Centros de Formación Técnica	6.3	s/i	1079425
CFT Santo Tomás	Técnico en Podología Clínica	Salud	Centros de Formación Técnica	6.2	s/i	979860
CFT Santo Tomás	Técnico en Producción Acuícola	Agropecuaria	Centros de Formación Técnica	9.9	s/i	850000
CFT Simón Bolívar	Administración de Empresas	Administración y Comercio	Centros de Formación Técnica	7.5	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Análisis de Sistemas	Tecnología	Centros de Formación Técnica	10.2	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Comercio Exterior	Administración y Comercio	Centros de Formación Técnica	7.2	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Contabilidad	Administración y Comercio	Centros de Formación Técnica	7.0	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Control Industrial	Tecnología	Centros de Formación Técnica	8.0	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Secretariado Ejecutivo Bilingüe	Administración y Comercio	Centros de Formación Técnica	6.9	Menor a $400 mil	495000
CFT Simón Bolívar	Turismo y Hotelería	Administración y Comercio	Centros de Formación Técnica	6.8	Menor a $400 mil	495000
CFT Simón Bolívar	Técnico Jurídico	Derecho	Centros de Formación Técnica	7.7	De $400 mil a $600 mil	495000
CFT Simón Bolívar	Técnico en Arsenalería Quirúrgica	Salud	Centros de Formación Técnica	9.0	s/i	620000
CFT Simón Bolívar	Técnico en Enfermería Médica	Salud	Centros de Formación Técnica	7.5	s/i	620000
CFT UCEVALPO	Construcción	Tecnología	Centros de Formación Técnica	8.6	s/i	950000
CFT UCEVALPO	Prevención de Riesgos Industriales	Tecnología	Centros de Formación Técnica	7.6	s/i	950000
CFT UDA	Instrumentación Industrial	Tecnología	Centros de Formación Técnica	9.7	s/i	1070000
CFT UValpo	Contabilidad General	Administración y Comercio	Centros de Formación Técnica	s/i	s/i	1004258
CFT UValpo	Técnico de Nivel Superior en Enfermería	Salud	Centros de Formación Técnica	7.6	Menor a $400 mil	1134346
CFT de ENAC	Técnico en Educación Parvularia y Nivel Básico	Educación	Centros de Formación Técnica	6.5	s/i	649667
CFT de ENAC	Técnico en Enfermería	Salud	Centros de Formación Técnica	6.8	Menor a $400 mil	980000
CFT de ENAC	Técnico en Imagenología y Radioterapia	Salud	Centros de Formación Técnica	6.6	s/i	970000
CFT de ENAC	Técnico en Laboratorio Clínico y Banco de Sangre	Salud	Centros de Formación Técnica	7.1	s/i	970000
CFT de ENAC	Técnico en Trabaso Social	Ciencias Sociales	Centros de Formación Técnica	6.4	Menor a $400 mil	698722
CFT de Enseñanza de Alta Costura Paulina Diard	Diseño de Vestuario, Moldaje y Confección	Arte y Arquitectura	Centros de Formación Técnica	6.7	s/i	798000
CFT de Tarapacá	Asistencia Jurídica	Derecho	Centros de Formación Técnica	7.1	Menor a $400 mil	1125000
CFT de Tarapacá	Técnico en Administración Pública	Ciencias Sociales	Centros de Formación Técnica	7.7	s/i	1020000
CFT del Medio Ambiente	Ecoturismo	Administración y Comercio	Centros de Formación Técnica	s/i	s/i	1360800
CFT del Medio Ambiente	Prevención de Riesgos y Medio Ambiente	Tecnología	Centros de Formación Técnica	7.2	s/i	848909
CFT del Medio Ambiente	Salud y Terapias Naturales	Salud	Centros de Formación Técnica	6.4	s/i	1326830
IP AIEP	Asistente de Párvulo	Educación	Institutos Profesionales	6.0	Menor a $400 mil	933253
IP AIEP	Auditoría	Administración y Comercio	Institutos Profesionales	10.1	s/i	1072032
IP AIEP	Comunicación y Relaciones Públicas	Ciencias Sociales	Institutos Profesionales	6.6	De $400 mil a $600 mil	1112146
IP AIEP	Construcción Civil	Tecnología	Institutos Profesionales	10.4	s/i	1075490
IP AIEP	Contabilidad General	Administración y Comercio	Institutos Profesionales	6.3	De $400 mil a $600 mil	1068033
IP AIEP	Dibujo de Arquitectura y Obras Civiles	Arte y Arquitectura	Institutos Profesionales	6.6	De $400 mil a $600 mil	1031510
IP AIEP	Diseño Gráfico	Arte y Arquitectura	Institutos Profesionales	6.7	Menor a $400 mil	1118568
IP AIEP	Diseño Gráfico Profesional	Arte y Arquitectura	Institutos Profesionales	8.9	s/i	1147231
IP AIEP	Diseño de Vestuario Profesional mención Alta Costura	Arte y Arquitectura	Institutos Profesionales	9.6	s/i	1370000
IP AIEP	Ingeniería de Ejecución en Informática	Tecnología	Institutos Profesionales	10.2	De $800 mil a $1 millón	1110213
IP AIEP	Ingeniería de Ejecución en Sonido	Tecnología	Institutos Profesionales	12.0	s/i	1292808
IP AIEP	Ingeniería en Prevención de Riesgos	Tecnología	Institutos Profesionales	10.1	s/i	1086182
IP AIEP	Masoterapia	Salud	Institutos Profesionales	6.1	s/i	1460000
IP AIEP	Peluquería y Cosmetología	Arte y Arquitectura	Institutos Profesionales	6.1	s/i	1368309
IP AIEP	Prevención de Riesgos	Tecnología	Institutos Profesionales	6.4	De $600 mil a $800 mil	1058420
IP AIEP	Programación Computacional	Tecnología	Institutos Profesionales	6.2	Menor a $400 mil	1094990
IP AIEP	Programación y Análisis de Sistemas	Tecnología	Institutos Profesionales	8.1	De $400 mil a $600 mil	1054109
IP AIEP	Publicidad	Ciencias Sociales	Institutos Profesionales	8.5	s/i	1171036
IP AIEP	Teatro	Arte y Arquitectura	Institutos Profesionales	s/i	s/i	1800000
IP AIEP	Topografía	Tecnología	Institutos Profesionales	7.3	De $800 mil a $1 millón	1158101
IP AIEP	Trabajo Social	Ciencias Sociales	Institutos Profesionales	10.2	s/i	1003924
IP AIEP	Técnico Deportivo y Personal Trainer	Educación	Institutos Profesionales	6.4	Menor a $400 mil	1067715
IP AIEP	Técnico Jurídico	Derecho	Institutos Profesionales	6.7	De $400 mil a $600 mil	977817
IP AIEP	Técnico en Administración de la Producción Agropecuaria y Agroindustrial	Administración y Comercio	Institutos Profesionales	6.6	Menor a $400 mil	1074454
IP AIEP	Técnico en Administración y Gestión  de Empresas	Administración y Comercio	Institutos Profesionales	6.4	De $400 mil a $600 mil	1070159
IP AIEP	Técnico en Construcción	Tecnología	Institutos Profesionales	6.7	De $400 mil a $600 mil	1044110
