CODIGO_UNICO	TIPO_INSTITUCION	INSTITUCION	SEDE	REGION	CARRERA	HORARIO	NOTAS_EM	PRUEBA_LENGUAJE	PRUEBA_MATEMATICAS	PRUEBA_HISTORIA	PRUEBA_CIENCIAS	OTROS	VACANTES_PRIMER_SEMESTRE	VACANTES_SEGUNDO_SEMESTRE	VALOR_MATRICULA	VALOR_ARANCEL	DURACION_SEMESTRES	AREA	ACREDITACION_CARRERA
I100S10C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	40	0	 214.000 	 1.370.000 	8	Tecnología	No Acreditada
I100S10C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	35	0	 214.000 	 1.370.000 	8	Tecnología	No Acreditada
I100S10C122J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION VIAJES Y TURISMO	Diurno	0	0	0	0	0	0	0	0	 214.000 	 1.226.000 	8	Administración y Comercio	No Acreditada
I100S10C123J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION TURISMO AVENTURA	Diurno	0	0	0	0	0	0	20	0	 214.000 	 1.266.000 	8	Administración y Comercio	No Acreditada
I100S10C144J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Vespertino	0	0	0	0	0	0	0	0	 202.000 	 1.316.000 	8	Tecnología	No Acreditada
I100S10C147J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	PSICOPEDAGOGIA	Diurno	0	0	0	0	0	0	0	0	 212.000 	 1.275.000 	8	Ciencias Sociales	No Acreditada
I100S10C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	20	0	 202.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S10C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	20	0	 214.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S10C150J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	ADMINISTRACION GASTRONOMICA INTERNACIONAL	Vespertino	0	0	0	0	0	0	0	0	 202.000 	 1.353.000 	8	Administración y Comercio	No Acreditada
I100S10C176J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	CONSTRUCCION CIVIL	Diurno	0	0	0	0	0	0	18	0	 202.000 	 1.333.000 	8	Tecnología	No Acreditada
