CODIGO_UNICO	TIPO_INSTITUCION	INSTITUCION	SEDE	REGION	CARRERA	HORARIO	NOTAS_EM	PRUEBA_LENGUAJE	PRUEBA_MATEMATICAS	PRUEBA_HISTORIA	PRUEBA_CIENCIAS	OTROS	VACANTES_PRIMER_SEMESTRE	VACANTES_SEGUNDO_SEMESTRE	VALOR_MATRICULA	VALOR_ARANCEL	DURACION_SEMESTRES	AREA	ACREDITACION_CARRERA
I100S10C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	40	0	 214.000 	 1.370.000 	8	Tecnolog’a	No Acreditada
I100S10C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	35	0	 214.000 	 1.370.000 	8	Tecnolog’a	No Acreditada
I100S10C122J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION VIAJES Y TURISMO	Diurno	0	0	0	0	0	0	0	0	 214.000 	 1.226.000 	8	Administraci—n y Comercio	No Acreditada
I100S10C123J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION TURISMO AVENTURA	Diurno	0	0	0	0	0	0	20	0	 214.000 	 1.266.000 	8	Administraci—n y Comercio	No Acreditada
I100S10C144J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Vespertino	0	0	0	0	0	0	0	0	 202.000 	 1.316.000 	8	Tecnolog’a	No Acreditada
I100S10C147J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	PSICOPEDAGOGIA	Diurno	0	0	0	0	0	0	0	0	 212.000 	 1.275.000 	8	Ciencias Sociales	No Acreditada
I100S10C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	20	0	 202.000 	 1.360.000 	8	Tecnolog’a	No Acreditada
I100S10C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	20	0	 214.000 	 1.360.000 	8	Tecnolog’a	No Acreditada
I100S10C150J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	ADMINISTRACION GASTRONOMICA INTERNACIONAL	Vespertino	0	0	0	0	0	0	0	0	 202.000 	 1.353.000 	8	Administraci—n y Comercio	No Acreditada
I100S10C176J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	CONSTRUCCION CIVIL	Diurno	0	0	0	0	0	0	18	0	 202.000 	 1.333.000 	8	Tecnolog’a	No Acreditada
I100S10C176J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	CONSTRUCCION CIVIL	Vespertino	0	0	0	0	0	0	35	0	 202.000 	 1.333.000 	8	Tecnolog’a	No Acreditada
I100S10C22J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN NEGOCIOS INTERNACIONALES	Vespertino	0	0	0	0	0	0	0	0	 201.000 	 1.189.000 	8	Administraci—n y Comercio	No Acreditada
I100S10C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	DISE„O GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	22	0	 214.000 	 1.254.000 	8	Arte y Arquitectura	No Acreditada
I100S10C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIîN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 214.000 	 1.361.000 	8	Tecnolog’a	No Acreditada
I100S13C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	102	0	 254.000 	 1.429.000 	8	Tecnolog’a	No Acreditada
I100S13C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	67	0	 254.000 	 1.429.000 	8	Tecnolog’a	No Acreditada
I100S13C126J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MINAS	Diurno	0	0	0	0	0	0	168	0	 252.000 	 1.342.000 	8	Tecnolog’a	No Acreditada
I100S13C126J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MINAS	Vespertino	0	0	0	0	0	0	56	0	 252.000 	 1.342.000 	8	Tecnolog’a	No Acreditada
I100S13C129J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN GEOMENSURA	Diurno	0	0	0	0	0	0	40	0	 252.000 	 1.342.000 	8	Tecnolog’a	No Acreditada
I100S13C144J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Diurno	0	0	0	0	0	0	17	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S13C144J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Vespertino	0	0	0	0	0	0	51	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S13C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	144	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S13C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	72	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S13C167J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN METALURGIA	Diurno	0	0	0	0	0	0	28	0	 252.000 	 1.342.000 	8	Tecnolog’a	No Acreditada
I100S13C167J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN METALURGIA	Vespertino	0	0	0	0	0	0	28	0	 252.000 	 1.342.000 	8	Tecnolog’a	No Acreditada
I100S13C24J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	SERVICIO SOCIAL	Diurno	0	0	0	0	0	0	0	0	 254.000 	 1.428.000 	8	Ciencias Sociales	No Acreditada
I100S13C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	DISE„O GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	70	0	 264.000 	 1.456.000 	8	Arte y Arquitectura	No Acreditada
I100S13C2J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	DISE„O GRAFICO PROFESIONAL	Vespertino	0	0	0	0	0	0	25	0	 264.000 	 1.456.000 	8	Arte y Arquitectura	No Acreditada
I100S13C74J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	PUBLICIDAD	Diurno	0	0	0	0	0	0	50	0	 258.000 	 1.534.000 	8	Ciencias Sociales	No Acreditada
I100S13C81J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Diurno	0	0	0	0	0	0	0	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S13C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIîN METROPOLITANA	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 258.000 	 1.453.000 	8	Tecnolog’a	No Acreditada
I100S14C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	50	0	 190.000 	 1.311.000 	8	Tecnolog’a	No Acreditada
I100S14C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	25	0	 190.000 	 1.311.000 	8	Tecnolog’a	No Acreditada
I100S14C121J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN CONECTIVIDAD Y REDES	Vespertino	0	0	0	0	0	0	0	0	 182.000 	 1.300.000 	8	Tecnolog’a	No Acreditada
I100S14C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	25	0	 190.000 	 1.228.000 	8	Tecnolog’a	No Acreditada
I100S14C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	30	0	 190.000 	 1.228.000 	8	Tecnolog’a	No Acreditada
I100S14C151J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN ELECTRONICA	Vespertino	0	0	0	0	0	0	0	0	 181.000 	 1.100.000 	8	Tecnolog’a	No Acreditada
I100S14C168J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	INGENIERIA EN TELECOMUNICACIONES, CONECTIVIDAD Y REDES	Vespertino	0	0	0	0	0	0	0	0	 190.000 	 1.345.000 	8	Tecnolog’a	No Acreditada
I100S14C176J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	CONSTRUCCION CIVIL	Diurno	0	0	0	0	0	0	20	0	 190.000 	 1.360.000 	8	Tecnolog’a	No Acreditada
I100S14C24J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	SERVICIO SOCIAL	Diurno	0	0	0	0	0	0	0	0	 190.000 	 1.270.000 	8	Ciencias Sociales	No Acreditada
I100S14C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIîN	DISE„O GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	30	0	 190.000 	 1.276.000 	8	Arte y Arquitectura	No Acreditada
