agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_basica	ive_media	numero_alumnos
2011	1	LICEO POLITECNICO ARICA	ARICA	15	Municipal	URBANO	1344571037	395	402		88.597733711	1538
2011	4	LICEO OCTAVIO PALMA PEREZ	ARICA	15	Municipal	URBANO	1264240069	513	530		66.4748201438	1324
2011	5	JOVINA NARANJO FERNANDEZ	ARICA	15	Municipal	URBANO	649771963	440	428	77.2946859903	78.59237536649999	816
2011	7	L. POLI. ANTONIO VARAS DE LA BARRA	ARICA	15	Municipal	URBANO	1120381018	389	407		89.3409275834	1131
2011	8	COLEGIO INTEGRADO EDUARDO FREI MONTALVA	ARICA	15	Municipal	URBANO	703472052	469	477	83.7606837606	78.72807017540001	729
2011	10	ESCUELA REPUBLICA DE FRANCIA	ARICA	15	Municipal	URBANO	456514939	436	405	81.0185185185	67.96116504850001	414
2011	15	LICEO ARTISTICO DR. JUAN NOE CREVANI	ARICA	15	Municipal	URBANO	381421270	453	442	79.6680497925	83.1460674157	378
2011	28	ESCUELA RICARDO SILVA ARRIAGADA	ARICA	15	Municipal	URBANO	536784269	414	377	83.17460317459999		689
2011	32	LICEO AGRICOLA JOSE ABELARDO NUNEZ M.	ARICA	15	Municipal	RURAL	507501011	415	459	90.0473933649	93.85964912279999	446
2011	45	COLEGIO ITALIANO SANTA ANA	ARICA	15	Particular Subvencionado	URBANO	760212877	496	520	53.1684698608	56.0784313725	909
2011	50	COLEGIO ADVENTISTA DE ARICA	ARICA	15	Particular Subvencionado	RURAL	587589992	443	490	72.70588235290001	65.6050955414	597
2011	52	LICEO DOMINGO SANTA MARIA	ARICA	15	Particular Subvencionado	URBANO	3675118875	458	482	69.0315898498	71.41979102640001	3891
2011	56	COLEGIO SAN MARCOS DE ARICA	ARICA	15	Particular Subvencionado	URBANO	749085502	512	542	33.2167832167	35.7954545454	953
2011	60	COLEGIO ALEMAN DE ARICA	ARICA	15	Particular Subvencionado	URBANO	792524950	490	501	54.2024013722	48.730964467	866
2011	67	ABRAHAM LINCOLN SCHOOL	ARICA	15	Particular Subvencionado	URBANO	369445855	536	538	49.1379310344	52.7472527472	604
2011	78	LICEO GRANADEROS	PUTRE	15	Municipal	URBANO	306318816	371	483	85.7142857142	87.037037037	188
2011	97	INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY	IQUIQUE	1	Municipal	URBANO	558370129	427	413		76.89133425030001	740
2011	103	ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA	IQUIQUE	1	Municipal	URBANO	491465184	452	440	68.49015317280001	70.8333333333	538
2011	107	"LICEO LIBERT. GRAL.BERNARDO O'HIGGINS"	IQUIQUE	1	Municipal	URBANO	673424292	483	493		66.587957497	738
2011	108	LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN	IQUIQUE	1	Municipal	URBANO	743953332	387	383		77.99415774089999	1122
2011	109	LICEO ELENA DUVAUCHELLE CABEZON	IQUIQUE	1	Municipal	URBANO	170509355	415	432	92	82.44047619040001	206
2011	124	LICEO LUIS CRUZ MARTINEZ	IQUIQUE	1	Municipal	URBANO	894942159	405	414		73.17073170730001	1145
2011	127	LICEO MARIA AUXILIADORA	IQUIQUE	1	Particular Subvencionado	URBANO	598977472	545	557	30.4421768707	27.5618374558	867
2011	129	LICEO SUPERIOR GABRIELA MISTRAL	IQUIQUE	1	Particular Subvencionado	URBANO	91751911	388	393	82.0895522388	73.97260273969999	137
2011	130	COLEGIO NORTH COLLEGE	IQUIQUE	1	Particular Subvencionado	URBANO	255958503	525	533	43.6860068259	40.3508771929	398
2011	131	LICEO PARTICULAR MIXTO ESCASCE	IQUIQUE	1	Particular Subvencionado	URBANO	231706866	433	444	58.6021505376	49.1228070175	386
2011	132	LICEO ACADEMIA IQUIQUE	IQUIQUE	1	Particular Subvencionado	URBANO	1389267126	592	603	24.6899661781	30.0498753117	1717
2011	133	COLEGIO ADVENTISTA DE IQUIQUE	IQUIQUE	1	Particular Subvencionado	URBANO	497547073	458	467	57.0024570024	58.9743589743	634
2011	134	LICEO ATENEA	IQUIQUE	1	Particular Subvencionado	URBANO	289735189	436	448	51.3440860215	62.831858407	367
2011	144	COLEGIO IQUIQUE YOUNG SCHOOL	IQUIQUE	1	Particular Subvencionado	URBANO	270839997	443	463	61.4785992217	52.2522522522	383
2011	161	LICEO DE HUARA	HUARA	1	Municipal	RURAL	280629056	335	404	77.7777777777	76.0563380281	258
2011	178	LICEO TECNICO PROFESIONAL COLCHANE	COLCHANE	1	Municipal	URBANO	202286214	386	399	98.80952380950001	100	122
2011	191	LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ	POZO ALMONTE	1	Municipal	URBANO	662940891	430	434		87.1710526315	713
2011	199	LICEO DOMINGO LATRILLE LASTAUNOU	TOCOPILLA	2	Municipal	URBANO	442114579	352	382		75.4318618042	532
2011	200	LICEO POLITECNICO DIEGO PORTALES P.	TOCOPILLA	2	Municipal	URBANO	626281534	396	441		67.4347158218	693
2011	208	COLEGIO SAGRADA FAMILIA	TOCOPILLA	2	Particular Subvencionado	URBANO	945768316	496	546	29.9392097264	35.831381733	1210
2011	211	LICEO  H.C. T.P.  MARIA ELENA	MARÍA ELENA	2	Municipal	URBANO	307373642	415	416		46.9879518072	308
2011	217	LICEO LUIS CRUZ MARTINEZ	CALAMA	2	Municipal	URBANO	975939327	545	567		37.6582278481	1239
2011	218	LICEO FRANCISCO DE AGUIRRE	CALAMA	2	Municipal	URBANO	639528003	398	405		71.29471890969999	1051
2011	219	LICEO POLITECNICO CESAREO AGUIRRE G.	CALAMA	2	Municipal	URBANO	1007148990	411	421		62.4447717231	1346
2011	220	LICEO AMERICA	CALAMA	2	Municipal	URBANO	944868034	454	446		47.8	1006
2011	253	COLEGIO ADVENTISTA DE CALAMA	CALAMA	2	Particular Subvencionado	URBANO	679389431	453	455	37.1924746743	43.1818181818	1043
2011	254	FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA	CALAMA	2	Particular Subvencionado	URBANO	866746610	538	524	38.112745098	29.431438127	1077
2011	255	COLEGIO  EJERCITO DE SALVACION	CALAMA	2	Particular Subvencionado	URBANO	827892681	476	445	51.3554216867	55.3990610328	990
2011	256	INSTITUTO OBISPO SILVA LEZAETA	CALAMA	2	Particular Subvencionado	URBANO	1189659118	514	542	26.0051325919	32.5773195876	1626
2011	257	COLEGIO CHUQUICAMATA	CALAMA	2	Particular Subvencionado	URBANO	1037338447	577	599	8.1367924528	11.2840466926	1286
2011	279	LICEO INDUSTRIAL EULOGIO GORDO MONEO	ANTOFAGASTA	2	Municipal	URBANO	1327102130	410	418		56.7046016823	2380
2011	280	LICEO COMERCIAL JERARDO MUNOZ CAMPO	ANTOFAGASTA	2	Municipal	URBANO	1222966563	444	443		54.4994375703	1856
2011	283	LICEO TECNICO DE ANTOFAGASTA	ANTOFAGASTA	2	Municipal	URBANO	1005930375	432	406		63.5908440629	1584
2011	284	LICEO MARIO BAHAMONDE SILVA	ANTOFAGASTA	2	Municipal	URBANO	1077729437	398	399	73.3333333333	66.6251556662	1843
2011	285	LICEO MARTA NAREA DIAZ	ANTOFAGASTA	2	Municipal	URBANO	926081257	457	425	50.4970178926	55.3235908141	1413
2011	286	LICEO LA PORTADA	ANTOFAGASTA	2	Municipal	URBANO	577792818	404	378		75.3378378378	927
2011	287	LICEO DOMINGO HERRERA RIVERA	ANTOFAGASTA	2	Municipal	URBANO	748713397	478	494		42.5389755011	1320
2011	304	LICEO ANDRES SABELLA	ANTOFAGASTA	2	Municipal	URBANO	945167466	485	500	35.989010989	35.0427350427	1523
2011	335	COLEGIO EVANGELICO JOSE LANCASTER	ANTOFAGASTA	2	Particular Subvencionado	URBANO	408010561	396	383	73.4219269102	76.5306122448	534
2011	336	LICEO EXPERIMENTAL ARTISTICO-APLICACION	ANTOFAGASTA	2	Particular Subvencionado	URBANO	974618490	513	523	27.9181708784	32.5910931174	1326
2011	337	ESCUELA PARTICULAR SANTA TERESITA	ANTOFAGASTA	2	Particular Subvencionado	URBANO	615949831	588	593	34.6335697399	32.8859060402	987
2011	341	ESCUELA PARTICULAR ADVENTISTA	ANTOFAGASTA	2	Particular Subvencionado	URBANO	538507661	488	491	44.2649434571	43.2024169184	838
2011	342	COLEGIO INGLES SAN JOSE	ANTOFAGASTA	2	Particular Subvencionado	URBANO	1058108513	569	595	19.6567862714	24.6800731261	1318
2011	344	COLEGIO SANTA EMILIA	ANTOFAGASTA	2	Particular Subvencionado	URBANO	779100979	506	511	28.2089552238	27.4834437086	1038
2011	365	COLEGIO EAGLE SCHOOL	ANTOFAGASTA	2	Particular Subvencionado	URBANO	579517773	550	534	28.7735849056	33.5877862595	890
2011	367	COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT	MEJILLONES	2	Municipal	URBANO	577252782	414	425	69.6296296296	65.0549450549	714
2011	372	LICEO POLITECNICO JOSE MIGUEL QUIROZ	TALTAL	2	Municipal	URBANO	341219339	367	338		72.699386503	350
2011	373	LICEO JUAN CORTES-MONROY CORTES	TALTAL	2	Municipal	URBANO	320364152	436	459		49.4764397905	433
2011	379	LICEO FEDERICO VARELA	CHAÑARAL	3	Municipal	URBANO	564120060	461	490		68.8125894134	711
